company_name,career_url,notes
Forter,https://www.forter.com/careers/,
ControlUp,https://www.controlup.com/company/careers/,
Lemonade,https://makers.lemonade.com/,
Fireblocks,https://www.fireblocks.com/careers,
Palo Alto Networks,https://www.paloaltonetworks.com/company/careers,
Tenable,https://www.tenable.com/careers,
Eleos Health,https://eleos.health/career/,AI for psychologists / therapy sessions
Wiz,https://www.wiz.io/careers,
Cyara,https://cyara.com/careers/,
Dream Security,https://dreamgroup.com/careers/,Cyber protection - site is dreamgroup.com
Dfingo,,Company name unverified — confirm spelling before adding career URL
Zenity,https://zenity.io/careers,AI agent security platform
Mixtiles,https://www.mixtiles.com/careers,Cool products
Oasis,https://www.oasis.security/careers,Non-human identity (NHI) security - Israeli startup
Zenzap,,No careers page found at zenzap.co — verify via LinkedIn or direct contact
Neo Security,,Neosec was acquired by Akamai (2023) — verify if a different company is intended
Melio,https://www.meliopayments.com/careers,Fintech
Imperva,https://www.imperva.com/careers/,
Ocean,,Ambiguous — ocean.io is B2B prospecting (Copenhagen); confirm which company is intended
Harmony,,Multiple companies share this name — confirm which one (Israeli startup? security product?)
Google,https://careers.google.com/jobs/results/,JS-heavy custom platform - use manual JSON or filter by keyword on careers.google.com
